source_file,job_id,label,algorithm,recipe,seed,steps,status,exit_code,verdict,verdict_reason,cost_eur,cost_delta_vs_rbc_smart,cost_ratio_vs_rbc_smart,cost_ratio_to_bau_status,ev_min_acceptable_feasible_rate,ev_within_tolerance_rate,electrical_violation_kwh,battery_throughput_kwh,battery_ratio_vs_rbc_smart,battery_preferred_gate,v2g_export_kwh,v2g_delta_vs_rbc_smart,community_import_kwh,community_import_delta_vs_rbc_smart,community_export_kwh,community_export_delta_vs_rbc_smart,community_solar_self_consumption_rate,self_consumption_delta_vs_rbc_smart,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,runtime_seconds,deucalion_time,deucalion_mem_gb,deucalion_gpus,image_tag,slurm_job_id
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,6436492a-7220-4dd4-91f4-5d7197979372,phase10-w5a-v52-newenc-bc-2022-maddpg-seed123-4096steps-sha-94e7c2f  6436492a-7220-4dd4-91f4-5d7197979372,MADDPG,w5_bc,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.989 < 0.99,8792.247571327085,-9092.02272357297,0.49161902757834713,unavailable_bau_disabled,0.9891808346213292,0.25558121632024633,0.0,34592.58772080269,1.411366288078445,True,1507.3515510107445,1506.3515510107445,89174.49952466588,-69983.47816658884,22397.335668719184,-29952.47618099639,0.4822289804345377,-0.0007969222850905955,,,492.73319816589355,04:00:00,64,1,sha-94e7c2f,1368886
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,1e11a368-89fe-4adc-bd96-d732dce00481,phase10-w5a-v52-newenc-2022-matd3-seed123-4096steps-sha-94e7c2f  1e11a368-89fe-4adc-bd96-d732dce00481,MATD3,w5_plain,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.879 < 0.99,9243.893707829635,-8640.376587070421,0.5168728472229397,unavailable_bau_disabled,0.8794435857805255,0.06543494996150885,0.0,12956.424986043607,0.5286179104872952,True,5790.526758681655,5789.526758681655,83759.03660707614,-75398.94108417859,20836.9906426568,-31512.821207058772,0.4777739718334436,-0.005251930886184697,,,458.6965548992157,04:00:00,64,1,sha-94e7c2f,1368900
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,0a7edf0c-dab2-43c4-b89d-db1e1c807a16,phase10-w5a-v52-newenc-2022-maddpg-seed123-4096steps-sha-94e7c2f  0a7edf0c-dab2-43c4-b89d-db1e1c807a16,MADDPG,w5_plain,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.879 < 0.99,9251.90544275237,-8632.364852147686,0.5173208238409748,unavailable_bau_disabled,0.8786707882534776,0.06466512702078522,0.0,13153.804277086569,0.5366709211377629,True,5786.348183438087,5785.348183438087,83790.94652558191,-75367.03116567282,20813.016009287207,-31536.795840428367,0.4783581947980109,-0.0046677079216174144,,,415.6870746612549,04:00:00,64,1,sha-94e7c2f,1368872
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,ca580ecd-11f5-4548-ae58-1b980c3ef77d,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed789-8760steps-sha-94e7c2f  ca580ecd-11f5-4548-ae58-1b980c3ef77d,MADDPG,w5_bc_light,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.977 < 0.99,18627.08663022291,742.8163353228556,1.041534618023229,unavailable_bau_disabled,0.976928622927181,0.32831001076426264,0.0,66714.04635326695,2.7219113159227644,False,5469.5181377326535,5468.5181377326535,174934.0752581372,15776.097566882469,56998.58719843584,4648.775348720264,0.47902480255838453,-0.004001100161243776,,,1015.3119902610779,08:00:00,96,1,sha-94e7c2f,1371953
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,17cc6df8-e2ac-4dd9-ad0b-f1b398e496f5,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed456-8760steps-sha-94e7c2f  17cc6df8-e2ac-4dd9-ad0b-f1b398e496f5,MATD3,w5_bc_light,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.979 < 0.99,18943.327367680504,1059.057072780448,1.0592172370086832,unavailable_bau_disabled,0.9794520547945206,0.20129171151776104,0.0,63998.38497347951,2.61111321801222,False,4199.088297302245,4198.088297302245,175133.29313216457,15975.31544090985,56487.015054940384,4137.2032052248105,0.4809501845678561,-0.00207571815177221,,,1023.9077162742615,08:00:00,96,1,sha-94e7c2f,1369150
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,933f8e1e-86c6-4512-b94f-fb18ae46d0b0,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed456-8760steps-sha-94e7c2f  933f8e1e-86c6-4512-b94f-fb18ae46d0b0,MADDPG,w5_bc_light,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.978 < 0.99,19512.700068703165,1628.4297738031091,1.0910537442652877,unavailable_bau_disabled,0.9783705839942322,0.21923214926444204,0.0,67429.4365597733,2.7510990028467277,False,3561.717297828107,3560.717297828107,179133.86826527238,19975.890574017656,56691.75584490323,4341.943995187656,0.4812526692890177,-0.001773233430610588,,,1074.7469940185547,08:00:00,96,1,sha-94e7c2f,1369246
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,c5cb6e9a-120b-4037-9d76-358d67472ffa,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed789-8760steps-sha-94e7c2f  c5cb6e9a-120b-4037-9d76-358d67472ffa,MATD3,w5_bc_light,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.980 < 0.99,19604.849630484714,1720.579335584658,1.0962062923011908,unavailable_bau_disabled,0.9801730353280461,0.21349120918550413,0.0,68120.02447997789,2.779274764584981,False,4041.6190091813587,4040.6190091813587,181076.28241493567,21918.30472368095,58462.557343591754,6112.74549387618,0.47722772242422024,-0.005798180295408073,,,1027.10706448555,08:00:00,96,1,sha-94e7c2f,1369317
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,2c5c149b-d948-4a1c-9cb1-640e96b563f8,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed2025-8760steps-sha-94e7c2f  2c5c149b-d948-4a1c-9cb1-640e96b563f8,MATD3,w5_bc_light,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.986 < 0.99,19667.8480240078,1783.577729107743,1.099728851090802,unavailable_bau_disabled,0.9855803893294881,0.22963760315751705,0.0,61904.40077157478,2.5256793460454827,False,4072.7372777251794,4071.7372777251794,180793.53386468787,21635.556173433142,58893.399525965004,6543.58767624943,0.4722883582362787,-0.010737544483349626,,,1034.6708009243011,08:00:00,96,1,sha-94e7c2f,1372001
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,1b66e5b8-33ba-4b26-b221-8dd8776fe0bd,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed123-8760steps-sha-94e7c2f  1b66e5b8-33ba-4b26-b221-8dd8776fe0bd,MATD3,w5_bc_light,123,8760,finished,0,FAIL_EV_MIN,ev_min=0.988 < 0.99,19771.693717923295,1887.4234230232396,1.1055353890262698,unavailable_bau_disabled,0.9881038211968277,0.22317904556871188,0.0,65958.43600381017,2.691082660294173,False,3716.153077075796,3715.153077075796,180717.66556320482,21559.687871950096,58098.86367215721,5749.051822441637,0.4744144059109815,-0.008611496808646812,,,1054.0305814743042,08:00:00,96,1,sha-94e7c2f,1368969
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,031e722a-bfa8-4530-b947-93604f9ca4c3,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed2024-8760steps-sha-94e7c2f  031e722a-bfa8-4530-b947-93604f9ca4c3,MATD3,w5_bc_light,2024,8760,finished,0,FAIL_EV_MIN,ev_min=0.981 < 0.99,19799.83806052617,1915.5677656261141,1.1071090815582432,unavailable_bau_disabled,0.9805335255948089,0.22066738428417654,0.0,71191.28799993033,2.904581313746647,False,5437.204637547651,5436.204637547651,182793.0020312159,23635.02433996118,58885.3490024656,6535.537152750025,0.4731398347738816,-0.009886067945746702,,,1035.581087589264,08:00:00,96,1,sha-94e7c2f,1371963
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,19f020cf-2c44-4a05-a615-b2fe6b2e3b0a,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed2025-8760steps-sha-94e7c2f  19f020cf-2c44-4a05-a615-b2fe6b2e3b0a,MADDPG,w5_bc_light,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.988 < 0.99,19842.098769761258,1957.8284748612023,1.1094720915406597,unavailable_bau_disabled,0.9881038211968277,0.21779691424470757,0.0,68493.1860217812,2.7944996336916037,False,3551.8696460905885,3550.8696460905885,183005.08701886117,23847.10932760645,59477.414553647686,7127.6027039321125,0.4693576788734919,-0.013668223846136418,,,1060.8888473510742,08:00:00,96,1,sha-94e7c2f,1372015
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,3a8a3c16-6900-4e73-aef3-b3446752c7d7,phase10-w5b-v52-newenc-plain-2022-maddpg-seed456-8760steps-sha-94e7c2f  3a8a3c16-6900-4e73-aef3-b3446752c7d7,MADDPG,w5_plain,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.938 < 0.99,19997.049247972176,2112.77895307212,1.1181361564231451,unavailable_bau_disabled,0.9383561643835616,0.04951560818083961,0.0,13313.192981700324,0.5431739282619471,True,6077.912760740699,6076.912760740699,172047.13028323627,12889.152591981547,57000.42084512151,4650.608995405935,0.45545584754138047,-0.027570055178247843,,,862.3017449378967,08:00:00,96,1,sha-94e7c2f,1369230
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,29823ec1-ecf8-47d5-9969-ed1a77e61e2e,phase10-w5b-v52-newenc-plain-2022-matd3-seed456-8760steps-sha-94e7c2f  29823ec1-ecf8-47d5-9969-ed1a77e61e2e,MATD3,w5_plain,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.940 < 0.99,20055.705547924223,2171.4352530241667,1.1214159268015191,unavailable_bau_disabled,0.9401586157173756,0.049874416935773234,0.0,13054.27530742724,0.5326101716616581,True,5869.757853547471,5868.757853547471,172371.92347925258,13213.945787997858,57064.0686163729,4714.256766657323,0.4556071960826791,-0.02741870663694923,,,963.5956745147705,08:00:00,96,1,sha-94e7c2f,1369097
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,5c077145-55f4-4d25-a7c3-a2ec2d206682,phase10-w5b-v52-newenc-plain-2022-matd3-seed123-8760steps-sha-94e7c2f  5c077145-55f4-4d25-a7c3-a2ec2d206682,MATD3,w5_plain,123,8760,finished,0,FAIL_EV_MIN,ev_min=0.943 < 0.99,20110.87307017034,2226.602775270283,1.1245006219742288,unavailable_bau_disabled,0.943042537851478,0.048797990670972374,0.0,13068.32391157701,0.533183350125541,True,5793.747105986717,5792.747105986717,172738.74597275764,13580.768281502911,57130.798727278016,4780.986877562442,0.45543760579476145,-0.027588296924866862,,,958.5605368614197,08:00:00,96,1,sha-94e7c2f,1368929
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,e9ff4223-05c8-4918-959c-a83af0ba6572,phase10-w5b-v52-newenc-plain-2022-matd3-seed2025-8760steps-sha-94e7c2f  e9ff4223-05c8-4918-959c-a83af0ba6572,MATD3,w5_plain,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.947 < 0.99,20183.116376044036,2298.84608114398,1.1285401105685329,unavailable_bau_disabled,0.946647440519106,0.05130965195550771,0.0,13657.375970911862,0.557216481881349,True,5717.32397667003,5716.32397667003,173225.32783682673,14067.35014557201,57002.94375000316,4653.13190028759,0.45596731679704317,-0.027058585922585143,,,963.8991510868073,08:00:00,96,1,sha-94e7c2f,1371994
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,c8dc3c52-5192-4bc2-bdb7-e9569bca01f4,phase10-w5b-v52-newenc-plain-2022-maddpg-seed123-8760steps-sha-94e7c2f  c8dc3c52-5192-4bc2-bdb7-e9569bca01f4,MADDPG,w5_plain,123,8760,finished,0,FAIL_EV_MIN,ev_min=0.943 < 0.99,20281.963335650216,2397.6930407501604,1.1340671439881949,unavailable_bau_disabled,0.943042537851478,0.048797990670972374,0.0,12968.221813170621,0.5290992171836238,True,5789.519441975186,5788.519441975186,173747.33670400348,14589.359012748755,57116.86019263824,4767.048342922666,0.4555758763917138,-0.02745002632791449,,,906.4487659931183,08:00:00,96,1,sha-94e7c2f,1369004
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,212e2943-fb36-4b9d-bc6b-e3736f4d851e,phase10-w5b-v52-newenc-plain-2022-maddpg-seed2025-8760steps-sha-94e7c2f  212e2943-fb36-4b9d-bc6b-e3736f4d851e,MADDPG,w5_plain,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.946 < 0.99,20618.00127147778,2733.7309765777245,1.1528567244567582,unavailable_bau_disabled,0.9462869502523432,0.050950843200574095,0.0,14071.086834126772,0.5740957500663718,True,5722.5816467442655,5721.5816467442655,175692.08582707864,16534.108135823917,57206.04256927669,4856.230719561114,0.4560057196555282,-0.02702018306410009,,,930.1935424804688,08:00:00,96,1,sha-94e7c2f,1372008
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,d610bc44-9a43-47b1-bf97-2a81c320500b,phase10-w5b-v52-newenc-plain-2022-matd3-seed2024-8760steps-sha-94e7c2f  d610bc44-9a43-47b1-bf97-2a81c320500b,MATD3,w5_plain,2024,8760,finished,0,FAIL_EV_MIN,ev_min=0.946 < 0.99,20989.68308199228,3105.412787092224,1.173639334224208,unavailable_bau_disabled,0.9459264599855803,0.053103695730175815,0.0,13424.342065822028,0.5477087746153418,True,5457.915414045536,5456.915414045536,177350.6861685018,18192.70847724707,56915.644603065564,4565.8327533499905,0.4557339741490319,-0.027291928570596424,,,1066.7142777442932,08:00:00,96,1,sha-94e7c2f,1371955
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,4ab34a02-10f3-464a-b578-6964d4d8cca2,phase10-w5b-v52-newenc-plain-2022-matd3-seed789-8760steps-sha-94e7c2f  4ab34a02-10f3-464a-b578-6964d4d8cca2,MATD3,w5_plain,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.944 < 0.99,21042.654332992257,3158.384038092201,1.1766012247641358,unavailable_bau_disabled,0.9437635183850036,0.05023322569070685,0.0,12833.307038777306,0.5235947384242067,True,5646.156289761415,5645.156289761415,177942.63074473338,18784.653053478658,57087.07622074794,4737.264371032368,0.4555548815272093,-0.02747102119241901,,,1028.2108170986176,08:00:00,96,1,sha-94e7c2f,1369272
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,a8b3d3e8-9d67-42a0-b38b-896e0045af9a,phase10-w5b-v52-newenc-plain-2022-maddpg-seed789-8760steps-sha-94e7c2f  a8b3d3e8-9d67-42a0-b38b-896e0045af9a,MADDPG,w5_plain,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.944 < 0.99,21076.529584232336,3192.25928933228,1.1784953613814815,unavailable_bau_disabled,0.9441240086517664,0.05023322569070685,0.0,14284.77569925518,0.5828141860161232,True,5641.121150430054,5640.121150430054,177990.30435830148,18832.326667046756,56879.98577113023,4530.173921414658,0.45593885261129835,-0.027087050108329958,,,901.5203633308411,08:00:00,96,1,sha-94e7c2f,1371942
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,baad5e1c-72a7-413b-bb6d-1f5e8b3ac230,phase10-w5b-v52-newenc-plain-2022-maddpg-seed2024-8760steps-sha-94e7c2f  baad5e1c-72a7-413b-bb6d-1f5e8b3ac230,MADDPG,w5_plain,2024,8760,finished,0,FAIL_EV_MIN,ev_min=0.946 < 0.99,21160.336134274337,3276.0658393742815,1.183181409437124,unavailable_bau_disabled,0.9459264599855803,0.05346250448510944,0.0,15621.506159392873,0.6373523524844094,True,5458.162429693475,5457.162429693475,178466.74903924097,19308.771347986243,56659.70439776103,4309.892548045456,0.45618405804874484,-0.026841844670883463,,,916.0519046783447,08:00:00,96,1,sha-94e7c2f,1371975
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,723683a9-f5d9-48f5-8315-f4944a7a9f4a,phase10-w5a-v52-newenc-bc-2022-matd3-seed123-4096steps-sha-94e7c2f  723683a9-f5d9-48f5-8315-f4944a7a9f4a,MATD3,w5_bc,123,4096,finished,0,FAIL_EV_TOL,ev_tol=0.217 < 0.4,8888.708069509059,-8995.562225390997,0.4970126218705046,unavailable_bau_disabled,0.990726429675425,0.21709006928406466,0.0,32320.191851898788,1.318653278331244,True,865.4889285818158,864.4889285818158,89069.06331587955,-70088.91437537517,21964.740441985505,-30385.07140773007,0.48560906005699384,0.002583157337365527,,,474.03714632987976,04:00:00,64,1,sha-94e7c2f,1368914
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,001012df-0a80-49ee-a746-8074a08c126d,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed2024-8760steps-sha-94e7c2f  001012df-0a80-49ee-a746-8074a08c126d,MADDPG,w5_bc_light,2024,8760,finished,0,FAIL_EV_TOL,ev_tol=0.282 < 0.4,19544.529622341874,1660.2593274418177,1.0928334955838408,unavailable_bau_disabled,0.9953136265320837,0.28202368137782563,0.0,67626.99953502763,2.7591595077530653,False,5182.698875977027,5181.698875977027,180258.52865773052,21100.5509664758,57961.47439726567,5611.662547550099,0.4752863420415216,-0.007739560678106716,,,1040.0432426929474,08:00:00,96,1,sha-94e7c2f,1371979
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,14ad3795-2f54-48ea-bb74-af80096646d5,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed123-8760steps-sha-94e7c2f  14ad3795-2f54-48ea-bb74-af80096646d5,MADDPG,w5_bc_light,123,8760,finished,0,FAIL_EV_TOL,ev_tol=0.208 < 0.4,20018.594734989227,2134.324440089171,1.1193408735662982,unavailable_bau_disabled,0.996395097332372,0.2077502691065662,0.0,68356.43224831678,2.7889201243703297,False,3436.6371530923743,3435.6371530923743,182885.15766400602,23727.1799727513,58140.16973001653,5790.357880300959,0.47344798736713584,-0.009577915352492472,,,1034.6973094940186,08:00:00,96,1,sha-94e7c2f,1369071
